,DATE,SERIES,OPEN,HIGH,LOW,PREV_CLOSE,LTP,CLOSE,VWAP,52W_H,52W_L,VOLUME,VALUE,NO_OF_TRADES
0,14/08/2020,EQ,451.5,451.5,425.6,448.1,436.3,435.85,437.21,765.85,286.0,36726464,16057299564,251696
1,13/08/2020,EQ,454.1,456.75,445.35,451.1,450.0,448.1,450.43,765.85,286.0,21885898,9858147484,176927
2,12/08/2020,EQ,444.8,452.75,438.95,448.0,450.0,451.1,447.74,765.85,286.0,23184443,10380629913,209665
3,11/08/2020,EQ,435.3,449.9,435.3,431.1,448.0,448.0,443.6,765.85,286.0,30469680,13516501107,257119
4,10/08/2020,EQ,434.0,437.0,429.3,433.3,431.8,431.1,433.65,765.85,286.0,14888275,6456281969,131635
5,07/08/2020,EQ,431.45,437.0,427.15,433.0,433.2,433.3,433.75,765.85,286.0,15570556,6753782143,132147
6,06/08/2020,EQ,436.0,438.3,427.1,434.95,433.0,433.0,432.71,765.85,286.0,33465332,14480835606,271115
7,05/08/2020,EQ,439.0,446.85,433.15,429.15,434.2,434.95,440.15,765.85,286.0,36936666,16257772753,301181
8,04/08/2020,EQ,421.85,431.2,417.35,417.35,429.0,429.15,423.84,765.85,286.0,24748403,10489411276,208124
9,03/08/2020,EQ,431.6,431.9,415.7,431.65,419.0,417.35,421.43,765.85,286.0,23824147,10040313528,238750
10,31/07/2020,EQ,429.0,434.45,421.3,425.85,432.9,431.65,428.84,765.85,286.0,27499643,11792993543,231122
11,30/07/2020,EQ,441.9,445.9,424.75,440.9,427.0,425.85,434.47,765.85,286.0,26862223,11670884882,242199
12,29/07/2020,EQ,435.75,447.0,434.3,437.05,441.5,440.9,442.06,765.85,286.0,24404909,10788499451,200484
13,28/07/2020,EQ,434.0,440.0,424.4,431.55,436.15,437.05,432.9,765.85,286.0,33057789,14310567977,270487
14,27/07/2020,EQ,447.0,448.0,429.9,445.6,431.9,431.55,434.54,765.85,286.0,21924614,9527124711,239539
15,24/07/2020,EQ,456.6,456.6,441.55,460.85,445.95,445.6,446.76,765.85,286.0,30567381,13656212425,315058
16,23/07/2020,EQ,472.95,474.75,459.2,478.95,460.9,460.85,465.01,765.85,286.0,40250274,18716611547,359159
17,22/07/2020,EQ,478.0,484.6,460.1,446.2,476.0,478.95,471.33,765.85,286.0,89612153,42237156272,680342
